Model name,input_node,output_node
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
MobileNet-small0.75-v3,['input_1'],['reshape_11/Reshape']
MobileNet-small1.0-v3,['input_1'],['reshape_11/Reshape']
MobileNet-small1.5-v3,['input_1'],['reshape_11/Reshape']
MobileNet-large1.0-v3,['input_1'],['reshape_10/Reshape']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
ResNet-200,['input_1'],['dense_1/Softmax']
