Model name,input_shape,total_flops,total_params
SEResNet-50,"(1, 240, 240, 3)",9171165984,28141144
SEResNet-50,"(1, 256, 256, 3)",10162054944,28141144
SEResNet-50,"(1, 299, 299, 3)",14518744672,28141144
SEResNet-50,"(1, 320, 320, 3)",15841470240,28141144
SEResNet-50,"(1, 331, 331, 3)",17695814240,28141144
SEResNet-50,"(1, 448, 448, 3)",30986577696,28141144
SEResNet-50,"(1, 480, 480, 3)",35561662240,28141144
SEResNet-50,"(1, 568, 568, 3)",50544063520,28141144
SEResNet-50,"(1, 600, 600, 3)",56345660448,28141144
SEResNet-50,"(1, 800, 800, 3)",98666276640,28141144
SEResNet-50,"(1, 896, 896, 3)",123750360864,28141144
SEResNet-50,"(1, 1024, 1024, 3)",161613129504,28141144
SEResNet-50,"(1, 1200, 1200, 3)",223046386464,28141144
SEResNet-50,"(1, 1600, 1600, 3)",394469156640,28141144
SEResNet-50,"(1, 1792, 1792, 3)",494805493536,28141144
SEResNet-50,"(1, 2400, 2400, 3)",887473956640,28141144
SEResNet-101,"(1, 32, 32, 3)",421748251,49432216
SEResNet-101,"(1, 56, 56, 3)",1283504923,49432216
SEResNet-101,"(1, 64, 64, 3)",1350217243,49432216
SEResNet-101,"(1, 75, 75, 3)",2109146459,49432216
SEResNet-101,"(1, 112, 112, 3)",4015650331,49432216
SEResNet-101,"(1, 128, 128, 3)",5064093211,49432216
SEResNet-101,"(1, 150, 150, 3)",7673206939,49432216
SEResNet-101,"(1, 224, 224, 3)",15277252123,49432216
SEResNet-101,"(1, 240, 240, 3)",17752815131,49432216
SEResNet-101,"(1, 256, 256, 3)",19919597083,49432216
SEResNet-101,"(1, 299, 299, 3)",28259150171,49432216
SEResNet-101,"(1, 320, 320, 3)",31061224987,49432216
SEResNet-101,"(1, 331, 331, 3)",34470782299,49432216
SEResNet-101,"(1, 448, 448, 3)",60772232731,49432216
SEResNet-101,"(1, 480, 480, 3)",69747432987,49432216
SEResNet-101,"(1, 568, 568, 3)",99750918939,49432216
SEResNet-101,"(1, 600, 600, 3)",111166456603,49432216
SEResNet-101,"(1, 800, 800, 3)",193543298587,49432216
SEResNet-101,"(1, 896, 896, 3)",242752155163,49432216
SEResNet-101,"(1, 1024, 1024, 3)",317029674523,49432216
SEResNet-101,"(1, 1200, 1200, 3)",436461008411,49432216
SEResNet-101,"(1, 1600, 1600, 3)",773836418587,49432216
SEResNet-101,"(1, 1792, 1792, 3)",970671844891,49432216
SEResNet-101,"(1, 2400, 2400, 3)",1740991618587,49432216
SEResNet-152,"(1, 32, 32, 3)",612192406,66973272
SEResNet-152,"(1, 56, 56, 3)",1895765398,66973272
SEResNet-152,"(1, 64, 64, 3)",1995993238,66973272
SEResNet-152,"(1, 75, 75, 3)",3096421334,66973272
SEResNet-152,"(1, 112, 112, 3)",5913588886,66973272
SEResNet-152,"(1, 128, 128, 3)",7531196566,66973272
SEResNet-152,"(1, 150, 150, 3)",11419165462,66973272
SEResNet-152,"(1, 224, 224, 3)",22753005718,66973272
SEResNet-152,"(1, 240, 240, 3)",26328954006,66973272
SEResNet-152,"(1, 256, 256, 3)",29672009878,66973272
SEResNet-152,"(1, 299, 299, 3)",41995716566,66973272
SEResNet-152,"(1, 320, 320, 3)",46277619862,66973272
SEResNet-152,"(1, 331, 331, 3)",51242894294,66973272
SEResNet-152,"(1, 448, 448, 3)",90559246486,66973272
SEResNet-152,"(1, 480, 480, 3)",103935987862,66973272
SEResNet-152,"(1, 568, 568, 3)",148645909910,66973272
SEResNet-152,"(1, 600, 600, 3)",165659331990,66973272
SEResNet-152,"(1, 800, 800, 3)",288442765462,66973272
SEResNet-152,"(1, 896, 896, 3)",361784209558,66973272
SEResNet-152,"(1, 1024, 1024, 3)",472488276118,66973272
SEResNet-152,"(1, 1200, 1200, 3)",649936475286,66973272
SEResNet-152,"(1, 1600, 1600, 3)",1153318285462,66973272
SEResNet-152,"(1, 1792, 1792, 3)",1446684061846,66973272
SEResNet-152,"(1, 2400, 2400, 3)",2594777485462,66973272
SEResNext-50,"(1, 32, 32, 3)",237234320,27628120
SEResNext-50,"(1, 56, 56, 3)",677684624,27628120
SEResNext-50,"(1, 64, 64, 3)",756131984,27628120
SEResNext-50,"(1, 75, 75, 3)",1195499472,27628120
SEResNext-50,"(1, 112, 112, 3)",2284184720,27628120
SEResNext-50,"(1, 128, 128, 3)",2831722640,27628120
SEResNext-50,"(1, 150, 150, 3)",4181611280,27628120
SEResNext-50,"(1, 224, 224, 3)",8539596944,27628120
SEResNext-50,"(1, 240, 240, 3)",10002506896,27628120
SEResNext-50,"(1, 256, 256, 3)",11134085264,27628120
SEResNext-50,"(1, 299, 299, 3)",15844590544,27628120
SEResNext-50,"(1, 320, 320, 3)",17360857232,27628120
SEResNext-50,"(1, 331, 331, 3)",19321044944,27628120
SEResNext-50,"(1, 448, 448, 3)",33965582480,27628120
SEResNext-50,"(1, 480, 480, 3)",38981593232,27628120
SEResNext-50,"(1, 568, 568, 3)",55357351312,27628120
SEResNext-50,"(1, 600, 600, 3)",61715250576,27628120
SEResNext-50,"(1, 800, 800, 3)",108167948432,27628120
SEResNext-50,"(1, 896, 896, 3)",135669524624,27628120
SEResNext-50,"(1, 1024, 1024, 3)",177181337744,27628120
SEResNext-50,"(1, 1200, 1200, 3)",244315128976,27628120
SEResNext-50,"(1, 1600, 1600, 3)",432478988432,27628120
SEResNext-50,"(1, 1792, 1792, 3)",542485293200,27628120
SEResNext-50,"(1, 2400, 2400, 3)",972997388432,27628120
SEResNext-101,"(1, 32, 32, 3)",437341082,49093272
SEResNext-101,"(1, 56, 56, 3)",1336318106,49093272
SEResNext-101,"(1, 64, 64, 3)",1414765466,49093272
SEResNext-101,"(1, 75, 75, 3)",2198027994,49093272
SEResNext-101,"(1, 112, 112, 3)",4203766682,49093272
SEResNext-101,"(1, 128, 128, 3)",5324463002,49093272
SEResNext-101,"(1, 150, 150, 3)",8049931802,49093272
SEResNext-101,"(1, 224, 224, 3)",16076131226,49093272
SEResNext-101,"(1, 240, 240, 3)",18647147418,49093272
SEResNext-101,"(1, 256, 256, 3)",20963253146,49093272
SEResNext-101,"(1, 299, 299, 3)",29685867226,49093272
SEResNext-101,"(1, 320, 320, 3)",32692345754,49093272
SEResNext-101,"(1, 331, 331, 3)",36219166426,49093272
SEResNext-101,"(1, 448, 448, 3)",63969926042,49093272
SEResNext-101,"(1, 480, 480, 3)",73418361754,49093272
SEResNext-101,"(1, 568, 568, 3)",104925501594,49093272
SEResNext-101,"(1, 600, 600, 3)",116938563738,49093272
SEResNext-101,"(1, 800, 800, 3)",203741612954,49093272
SEResNext-101,"(1, 896, 896, 3)",255545105306,49093272
SEResNext-101,"(1, 1024, 1024, 3)",333739056026,49093272
SEResNext-101,"(1, 1200, 1200, 3)",459296793498,49093272
SEResNext-101,"(1, 1600, 1600, 3)",814631852954,49093272
SEResNext-101,"(1, 1792, 1792, 3)",1021845822362,49093272
SEResNext-101,"(1, 2400, 2400, 3)",1832782252954,49093272
EfficientNet-B0,"(1, 32, 32, 3)",30296740,5288548
EfficientNet-B0,"(1, 56, 56, 3)",73222204,5288548
EfficientNet-B0,"(1, 64, 64, 3)",78007684,5288548
EfficientNet-B0,"(1, 75, 75, 3)",125756716,5288548
EfficientNet-B0,"(1, 112, 112, 3)",228573940,5288548
EfficientNet-B0,"(1, 128, 128, 3)",268851460,5288548
EfficientNet-B0,"(1, 150, 150, 3)",398541820,5288548
EfficientNet-B0,"(1, 224, 224, 3)",793671844,5288548
EfficientNet-B0,"(1, 240, 240, 3)",948986356,5288548
EfficientNet-B0,"(1, 256, 256, 3)",1032226564,5288548
EfficientNet-B0,"(1, 299, 299, 3)",1491393100,5288548
EfficientNet-B0,"(1, 320, 320, 3)",1604757892,5288548
EfficientNet-B0,"(1, 331, 331, 3)",1813713196,5288548
EfficientNet-B0,"(1, 448, 448, 3)",3131508100,5288548
EfficientNet-B0,"(1, 480, 480, 3)",3592713892,5288548
EfficientNet-B0,"(1, 568, 568, 3)",5121553468,5288548
EfficientNet-B0,"(1, 600, 600, 3)",5707436188,5288548
EfficientNet-B0,"(1, 800, 800, 3)",9954173092,5288548
EfficientNet-B0,"(1, 896, 896, 3)",12482853124,5288548
EfficientNet-B0,"(1, 1024, 1024, 3)",16299728644,5288548
EfficientNet-B0,"(1, 1200, 1200, 3)",22573800436,5288548
EfficientNet-B0,"(1, 1600, 1600, 3)",39773513092,5288548
EfficientNet-B0,"(1, 1792, 1792, 3)",49888233220,5288548
EfficientNet-B0,"(1, 2400, 2400, 3)",89472413092,5288548
EfficientNet-B1,"(1, 32, 32, 3)",43867822,7794184
EfficientNet-B1,"(1, 56, 56, 3)",107587582,7794184
EfficientNet-B1,"(1, 64, 64, 3)",114384142,7794184
EfficientNet-B1,"(1, 75, 75, 3)",187914814,7794184
EfficientNet-B1,"(1, 112, 112, 3)",340596382,7794184
EfficientNet-B1,"(1, 128, 128, 3)",396449422,7794184
EfficientNet-B1,"(1, 150, 150, 3)",589191806,7794184
EfficientNet-B1,"(1, 224, 224, 3)",1172128942,7794184
EfficientNet-B1,"(1, 240, 240, 3)",1409280926,7794184
EfficientNet-B1,"(1, 256, 256, 3)",1524710542,7794184
EfficientNet-B1,"(1, 299, 299, 3)",2213927390,7794184
EfficientNet-B1,"(1, 320, 320, 3)",2370906382,7794184
EfficientNet-B1,"(1, 331, 331, 3)",2691401278,7794184
